date,total_cases,total_deaths,deathpercentage
2020-01-23,98,1,1.0204081632653061
2020-01-24,286,8,2.797202797202797
2020-01-25,493,16,3.2454361054766734
2020-01-26,684,14,2.046783625730994
2020-01-27,809,26,3.2138442521631645
2020-01-28,2651,49,1.8483591097698981
2020-01-29,589,2,0.3395585738539898
2020-01-30,2068,38,1.83752417794971
2020-01-31,1692,42,2.4822695035460995
2020-02-01,2111,46,2.179062055897679
2020-02-02,4749,103,2.1688776584544116
2020-02-03,3100,64,2.064516129032258
2020-02-04,4011,66,1.6454749439042633
2020-02-05,3745,72,1.9225634178905209
2020-02-06,3162,70,2.213788741302973
2020-02-07,3533,85,2.405887347863006
2020-02-08,2731,87,3.1856462834126695
2020-02-09,3028,100,3.302509907529723
2020-02-10,2537,107,4.217579818683484
2020-02-11,2043,100,4.894762604013706
2020-02-12,378,5,1.3227513227513228
2020-02-13,15152,253,1.6697465681098205
2020-02-14,6485,152,2.343870470316114
2020-02-15,2076,143,6.8882466281310215
2020-02-16,2113,104,4.921911973497397
2020-02-17,1936,98,5.06198347107438
2020-02-18,1794,140,7.803790412486064
2020-02-19,421,115,27.315914489311165
2020-02-20,547,123,22.486288848263253
2020-02-21,629,4,0.6359300476947536
2020-02-22,1761,207,11.754684838160136
2020-02-23,324,10,3.0864197530864197
2020-02-24,568,160,28.169014084507044
2020-02-25,854,80,9.367681498829041
2020-02-26,963,60,6.230529595015576
2020-02-27,1359,43,3.164091243561442
2020-02-28,1389,57,4.103671706263499
2020-02-29,1896,70,3.691983122362869
2020-03-01,2376,54,2.272727272727273
2020-03-02,1980,89,4.494949494949495
2020-03-03,2600,74,2.8461538461538463
2020-03-04,2306,95,4.11968777103209
2020-03-05,2818,93,3.300212916962385
2020-03-06,3914,113,2.8870720490546753
2020-03-07,4104,105,2.5584795321637426
2020-03-08,3937,240,6.096012192024384
2020-03-09,4183,190,4.5421945971790585
2020-03-10,4829,276,5.71546904120936
2020-03-11,7693,344,4.47159755621994
2020-03-12,5875,309,5.259574468085106
2020-03-13,14315,492,3.4369542438002094
2020-03-14,11056,422,3.8169319826338635
2020-03-15,11288,646,5.72289156626506
2020-03-16,14810,692,4.672518568534774
2020-03-17,16012,816,5.0961778666000495
2020-03-18,19572,918,4.690374003678724
2020-03-19,27120,1116,4.115044247787611
2020-03-20,30922,1497,4.841213375590195
2020-03-21,32114,1721,5.359033443358037
2020-03-22,35149,1687,4.799567555264731
2020-03-23,42673,1959,4.590724814285379
2020-03-24,41094,2313,5.628558913710031
2020-03-25,51091,2829,5.537178759468399
2020-03-26,62845,3039,4.835706897923463
2020-03-27,64956,3486,5.366709772769259
2020-03-28,69646,3837,5.509289837176579
2020-03-29,56909,3478,6.111511360241789
2020-03-30,65196,4081,6.259586477698019
2020-03-31,76888,4744,6.170013526167932
2020-04-01,82227,6019,7.319980055213008
2020-04-02,82860,5893,7.111996138064204
2020-04-03,84071,6185,7.356876925455865
2020-04-04,75682,5980,7.901482518960916
2020-04-05,70413,5248,7.453169159104142
2020-04-06,73987,5921,8.002757241136957
2020-04-07,72686,8333,11.464381036238064
2020-04-08,83332,6861,8.233331733307732
2020-04-09,86514,7856,9.08061123055228
2020-04-10,85354,7419,8.692035522646858
