location,population,highestinfectioncount,populationpercentage
Faeroe Islands,49053,30010,61.178725052494244
Andorra,77354,37361,48.298730511673604
Gibraltar,33691,14568,43.240034430560094
Slovenia,2078723,858670,41.307572004543175
San Marino,34010,14044,41.293737136136436
Denmark,5813302,2399851,41.282063102863056
Seychelles,98910,38766,39.1932059447983
Israel,9291000,3474120,37.39231514368744
Georgia,3979773,1480841,37.20918253377768
Montenegro,628051,227045,36.150726612966146
Slovakia,5449270,1891646,34.71375064916952
Netherlands,17173094,5852494,34.0794384518014
Cyprus,896005,295686,33.00048548836223
France,67422000,21787839,32.31562249710777
Estonia,1325188,427010,32.222597850267285
Czechia,10724553,3451318,32.181462481466596
Aruba,107195,33531,31.28037688325015
Lithuania,2689862,826841,30.739160596342863
Portugal,10167923,3111858,30.604657411351365
Switzerland,8715494,2607052,29.912842576680106
Belgium,11632334,3460301,29.747263103002375
Maldives,543620,161113,29.63706265405982
Latvia,1866934,533871,28.59613676755579
Bonaire Sint Eustatius and Saba,26445,7444,28.148988466628854
Liechtenstein,38254,10768,28.14869033303707
Luxembourg,634814,175408,27.631400693746517
Bahrain,1748295,473462,27.081356407242485
United Kingdom,68207114,18441179,27.037031650393534
Serbia,6871547,1855174,26.997908913378605
Mongolia,3329282,888363,26.683320908231867
Cayman Islands,66498,17687,26.59779241480947
Isle of Man,85410,22178,25.966514459665145
Austria,9043072,2324406,25.703721036391176
Iceland,368792,93933,25.470454890561616
Ireland,4982904,1255571,25.19757555032166
Croatia,4081657,1021777,25.033387175845494
Sweden,10160159,2409081,23.71105609666148
United States,332915074,78036352,23.440317995333547
Curacao,164796,38465,23.34097914997937
Monaco,39520,9085,22.98836032388664
Spain,46745211,10707286,22.905631980140168
European Union,447189915,101332389,22.659810876996186
Uruguay,3485152,788676,22.62960123403513
Greece,10370747,2216411,21.37175846638627
Italy,60367471,12205474,20.21862734650587
Greenland,56868,11460,20.151930787085885
French Polynesia,282534,56658,20.05351568306823
British Virgin Islands,30423,5997,19.71205995463958
Europe,748962983,147293905,19.66637982694533
Norway,5465629,1068686,19.552845610267365
Argentina,45605823,8766174,19.221611240301485
High income,1214930230,221279250,18.213329830471007
Barbados,287708,52310,18.18162859565949
Palau,18174,3303,18.174314955430834
Bermuda,62092,11246,18.111834052696
Saint Pierre and Miquelon,5771,1040,18.021140183677005
Hungary,9634162,1721483,17.868528679505285
Panama,4381583,745367,17.011363244745105
Anguilla,15125,2497,16.509090909090908
Turkey,85042736,13079683,15.380129585670904
North America,596581283,91614207,15.356533905875153
Bulgaria,6896655,1049543,15.218145608269515
Germany,83900471,12692053,15.127511024342164
Lebanon,6769151,1023935,15.126490751942157
Costa Rica,5139053,771027,15.003289516570465
Turks and Caicos Islands,39226,5832,14.867689797583235
Dominica,72172,10669,14.782741229285595
Jordan,10269022,1508950,14.694193857993486
Poland,37797000,5408754,14.310008730851656
Kuwait,4328553,606035,14.000868188514731
New Caledonia,288217,40344,13.99778639011578
Chile,19212362,2677692,13.937338886285819
North Macedonia,2082661,288750,13.864474343160024
Armenia,2968128,408381,13.758874280354485
Belize,404915,55653,13.744366101527481
Malta,516100,70211,13.604146483239681
Romania,19127772,2596269,13.573295415691906
Suriname,591798,77334,13.06763456449667
Brazil,213993441,27677468,12.933792676383945
Kosovo,1782115,223561,12.544701099536226
Moldova,4024025,487283,12.109343257062271
South America,434260137,52355561,12.056266863840648
Saint Lucia,184401,22177,12.02650744844117
Qatar,2930524,351949,12.00976344162341
Palestine,5222756,618527,11.842923544580678
Grenada,113015,13373,11.832942529752689
Colombia,51265841,6026988,11.756342785832773
Australia,25788217,2969890,11.51646118070125
Bosnia and Herzegovina,3263459,365589,11.202500169298894
Ukraine,43466822,4785138,11.008713726529168
Botswana,2397240,260491,10.866287897749078
Finland,5548361,586809,10.576258466238949
Peru,33359415,3456789,10.36225905040601
Saint Kitts and Nevis,53546,5508,10.286482650431404
Cape Verde,561901,55846,9.938761454419907
Russia,145912022,14267875,9.778409485683092
Malaysia,32776195,3083683,9.408300749980283
Cuba,11317498,1062154,9.385060196167034
Albania,2872934,268491,9.34553317270776
Singapore,5453600,497997,9.13152779815168
Belarus,9442867,843717,8.934966467281601
United Arab Emirates,9991083,870358,8.711347908930394
Paraguay,7219641,628574,8.706443990774611
Trinidad and Tobago,1403374,121271,8.64138853933449
Saint Vincent and the Grenadines,111269,9447,8.49023537553137
Canada,38067913,3208795,8.42913295509528
Bahamas,396914,32972,8.307089193124959
Tunisia,11935764,968393,8.113372549926423
Iran,85028760,6860255,8.068158350186454
Guyana,790329,62360,7.890384890343135
Bolivia,11832936,886108,7.488488064162604
Antigua and Barbuda,98728,7342,7.436593468924722
Oceania,43219954,3204104,7.413483133276818
Azerbaijan,10223344,752605,7.3616323582577285
Kazakhstan,18994958,1381558,7.2732879956881185
Oman,5223376,369190,7.068034160282545
Fiji,902899,63509,7.033898586663624
Libya,6958538,475604,6.834826510971126
South Africa,60041996,3645269,6.0711988988507315
Namibia,2587344,156843,6.061930690314083
Eswatini,1172369,68858,5.87340675162854
Brunei,441532,24659,5.584872670610511
Mauritius,1273428,70862,5.564664825965818
Iraq,41179351,2281566,5.540558422108206
World,7874965730,415198318,5.27238253772058
Dominican Republic,10953714,570236,5.205868986537351
Upper middle income,2513672790,112491927,4.475201682872973
Ecuador,17888474,800320,4.473942271431314
Jamaica,2973462,127233,4.278951605905843
Wallis and Futuna,11094,454,4.092302145303768
Mexico,130262220,5300537,4.069128408835654
Guatemala,18249868,740011,4.054884122997493
Honduras,10062994,391874,3.894208820953287
Thailand,69950844,2639062,3.772737895771493
Vatican,812,29,3.571428571428571
Nepal,29674920,974039,3.2823643669469034
Philippines,111046910,3641940,3.2796410093716246
Montserrat,4981,163,3.272435253965067
Japan,126050796,4064142,3.2242097066963384
Morocco,37344787,1156356,3.0964321740541725
India,1393409033,42723558,3.066117485116088
South Korea,51305184,1552851,3.0266941445917044
Kyrgyzstan,6628347,200121,3.0191690326411695
Sri Lanka,21497306,630599,2.9333861647594355
Falkland Islands,3528,101,2.86281179138322
Sao Tome and Principe,223364,5920,2.650382335559893
Vietnam,98168829,2572087,2.620064868044825
Lower middle income,3330652550,79620566,2.390539535563384
Asia,4678444992,109624984,2.3431927528795446
El Salvador,6518500,147786,2.2671780317557717
Kiribati,121388,2665,2.195439417405345
Gabon,2278829,47446,2.082034237759832
Saudi Arabia,35340680,732596,2.0729538877010856
Laos,7379358,139685,1.8929153457523
Venezuela,28704947,506977,1.7661659504196265
Indonesia,276361788,4807778,1.7396681483331553
Zambia,18920657,309870,1.6377338271075892
Timor,1343875,21877,1.627904380987815
Djibouti,1002197,15535,1.550094442509806
Zimbabwe,15092171,231603,1.53459035151404
Lesotho,2159067,32434,1.5022229509320462
Mauritania,4775110,58577,1.2267151960897236
Bangladesh,166303494,1919102,1.153975754712646
Equatorial Guinea,1449891,15869,1.094496069014843
Bhutan,779900,7916,1.015001923323503
Myanmar,54806014,550824,1.005042986705802
Rwanda,13276517,129326,0.9740958415524192
Comoros,888456,8005,0.9010012876270743
Africa,1373486472,11104836,0.8085144066857617
Cambodia,16946446,124139,0.7325370759155047
Mozambique,32163045,224767,0.6988361953913257
Solomon Islands,703995,4910,0.6974481352850517
Uzbekistan,33935765,234063,0.6897236588006783
Pakistan,225199929,1491423,0.6622661945865889
Algeria,44616626,262570,0.5885025909399784
Kenya,54985702,322517,0.5865470263524143
Ghana,31732128,157992,0.497892861140608
Senegal,17196308,85454,0.49693224848031337
Gambia,2486937,11911,0.4789425707205289
New Zealand,5126300,23509,0.45859586836509764
Egypt,104258327,459198,0.44044251736362505
Cameroon,27224262,118675,0.4359163161153827
Malawi,19647681,85065,0.43295185828800864
Togo,8478242,36693,0.43279019400484203
Afghanistan,39835428,171422,0.4303254881559199
Papua New Guinea,9119005,38671,0.4240703892584772
Congo,5657017,23874,0.422024540495459
Ethiopia,117876226,467691,0.3967644841293103
Guinea-Bissau,2015490,7878,0.3908726910081419
Uganda,47123533,162869,0.3456213692636331
Burundi,12255429,37923,0.30943837216959114
Cote d'Ivoire,27053629,81237,0.30028134118346933
Angola,33933611,98555,0.29043475508692546
Syria,18275704,53011,0.29006269744793417
Central African Republic,4919987,14187,0.28835442044867193
Low income,665149040,1794120,0.269732028779595
Guinea,13497237,36329,0.2691587915363715
Eritrea,3601462,9679,0.2687519679507933
Nicaragua,6702379,17895,0.26699474917786653
Haiti,11541683,30055,0.26040396361605145
Hong Kong,7552800,19099,0.25287310666242985
Madagascar,28427333,62844,0.22106892686696988
Benin,12451031,26552,0.21325141668991107
Tajikistan,9749625,17780,0.18236598843545265
Somalia,16359500,26260,0.16051835325040495
South Sudan,11381377,16900,0.14848818381115045
Mali,20855724,30286,0.1452167280311151
Liberia,5180208,7360,0.14207923697272387
Sudan,44909351,59903,0.13338647445606597
Tonga,106759,141,0.13207317415861894
Nigeria,211400704,254124,0.1202096280625442
Burkina Faso,21497097,20725,0.09640836620870251
Sierra Leone,8141343,7659,0.09407538780763812
Democratic Republic of Congo,92377986,85793,0.092871693479007
Taiwan,23855008,19666,0.08243971244947812
Saint Helena,6095,4,0.06562756357670221
Tanzania,61498438,33549,0.05455260505966022
Chad,16914985,7216,0.042660398457344186
Yemen,30490639,11699,0.038369153234210675
Niger,25130810,8724,0.034714360579702765
Samoa,200144,33,0.01648812854744584
Macao,658391,79,0.011998948952825904
Marshall Islands,59618,7,0.01174142037639639
Cook Islands,17572,2,0.011381743683132257
China,1444216102,107196,0.007422434900950855
Vanuatu,314464,7,0.002226009972524677
Micronesia (country),116255,1,0.0008601780568577696
